"FSC-A","FSC-H","FSC-W","SSC-A","SSC-H","SSC-W","GFP-A","mCherry-A","Time"
142960.203125,68933.085938,135915.000000,149596.703125,83144.382813,117915.000000,2309.119873,1869.559937,0.184708
90265.804688,68454.023438,86418.000000,64125.640625,89610.179688,46898.000000,63.139999,2334.639893,0.185312
124925.406250,68713.804688,119148.000000,88240.203125,91646.757813,63100.000000,917.580017,3361.049805,0.185312
138726.000000,71072.132813,127920.000000,144128.125000,87559.617188,107876.000000,1308.719971,3184.719971,0.185312
103068.007813,63287.406250,106730.000000,66282.242188,77861.148438,55790.000000,588.760010,3565.869873,0.185915
96187.804688,61773.148438,102047.000000,56478.320313,76482.343750,48395.000000,40.180000,1624.699951,0.186519
111459.007813,65037.109375,112314.000000,80919.242188,85037.742188,62362.000000,788.839966,2179.869873,0.186519
136035.000000,66907.242188,133247.000000,100046.562500,80403.343750,81547.000000,21.320000,181.720001,0.186519
108828.601563,64458.968750,110647.000000,70530.656250,79537.070313,58115.000000,554.320007,1141.140015,0.186519
127082.406250,73124.132813,113895.000000,118388.320313,95882.265625,80919.000000,1950.780029,7102.479980,0.186519
119769.007813,66625.765625,117810.000000,90160.640625,85305.460938,69266.000000,53.299999,5130.509766,0.186519
120078.601563,65507.414063,120131.000000,87872.015625,84579.742188,68087.000000,1710.520020,5738.040039,0.186519
157175.406250,76086.351563,135381.000000,139143.343750,102763.203125,88737.000000,42.639999,3147.760010,0.187123
112345.804688,67586.101563,108938.000000,97809.601563,84867.609375,75530.000000,15.580000,120.119995,0.187123
97146.601563,62585.148438,101727.000000,61618.898438,75749.023438,53311.000000,99.220001,1126.510010,0.187726
106207.203125,64531.761719,107860.000000,62185.519531,82079.078125,49652.000000,704.380005,207.129990,0.187726
103354.203125,63939.414063,105935.000000,66572.515625,82638.437500,52795.000000,22.959999,49.279999,0.187726
152820.000000,76710.234375,130559.000000,96655.039063,102993.101563,61503.000000,419.839996,5246.009766,0.187726
117143.406250,68548.687500,111995.000000,85888.437500,92149.773438,61083.000000,1704.780029,2708.089844,0.188330
117397.804688,68636.882813,112094.000000,107297.000000,90079.890625,78062.000000,5336.560059,6275.500000,0.188330
117310.804688,67987.984375,113080.000000,92710.835938,83542.750000,72728.000000,405.079987,4738.580078,0.188330
139645.812500,74676.500000,122553.000000,155445.765625,95964.406250,106157.000000,2179.560059,1983.519897,0.188330
132561.000000,81928.343750,106038.000000,99795.640625,102437.226563,63846.000000,1110.280029,3871.559814,0.188330
157389.609375,76196.242188,135370.000000,149212.125000,98514.695313,99262.000000,269.779999,2761.219971,0.188934
165010.203125,72150.328125,149883.000000,108007.117188,91198.273438,77615.000000,21.320000,23.869999,0.188934
102735.601563,62728.308594,107334.000000,68413.421875,78905.039063,56822.000000,254.199997,1334.409912,0.188934
112113.601563,64222.269531,114407.000000,93305.335938,82790.984375,73859.000000,1941.760010,2788.169922,0.188934
127011.601563,68842.078125,120912.000000,96280.296875,86821.312500,72676.000000,840.500000,5083.540039,0.189537
104821.203125,63321.531250,108487.000000,73324.398438,81277.812500,59123.000000,924.140015,2281.510010,0.189537
101147.406250,64933.449219,102086.000000,82105.781250,78294.734375,68726.000000,1640.000000,3170.859863,0.189537
81660.601563,59847.121094,89423.000000,44182.417969,75912.726563,38143.000000,224.679993,1148.069946,0.190141
123230.406250,71392.820313,113121.000000,116414.578125,91272.140625,83589.000000,630.580017,2038.959961,0.190141
116068.804688,68249.546875,111454.000000,92038.437500,102175.539063,59034.000000,570.719971,1076.459961,0.190141
106626.601563,63846.582031,109448.000000,77017.679688,86410.851563,58412.000000,1479.280029,2884.419922,0.190141
111187.804688,69124.265625,105416.000000,101511.898438,88664.625000,75032.000000,13.120000,20.020000,0.190141
120727.203125,70531.835938,112176.000000,96549.257813,95018.203125,66592.000000,18.860001,5.390000,0.190141
131593.203125,69209.789063,124608.000000,126599.796875,89067.812500,93152.000000,354.239990,6357.119629,0.190141
156166.812500,80526.757813,127095.000000,115957.835938,105099.265625,72307.000000,1056.160034,1252.789917,0.190744
106612.203125,64488.457031,108344.000000,83237.382813,87275.140625,62504.000000,1864.679932,10039.259766,0.190744
107131.203125,63865.140625,109934.000000,78085.320313,79881.984375,64062.000000,1314.459961,1606.989990,0.190744
