"FSC-A","FSC-H","FSC-W","SSC-A","SSC-H","SSC-W","GFP-A","mCherry-A","Time"
132481.203125,74922.242188,115884.000000,88348.437500,106324.429688,54456.000000,27.059999,47.739998,0.407741
111079.203125,71005.398438,102523.000000,146488.906250,89222.921875,107599.000000,521.520020,468.159973,0.407741
127105.203125,68918.460938,120867.000000,116350.617188,91150.000000,83655.000000,1002.039978,837.760010,0.411392
82569.000000,60836.015625,88948.000000,75812.281250,79862.953125,62212.000000,6161.479980,4726.259766,0.411392
112452.601563,67100.921875,109830.000000,79814.703125,78447.718750,66678.000000,25.420000,2.310000,0.415044
114739.804688,72707.820313,103422.000000,104676.281250,90648.070313,75678.000000,11849.820313,8767.219727,0.418695
98069.406250,64268.195313,100004.000000,67824.656250,82113.296875,54132.000000,7.380000,33.110001,0.419912
153981.609375,76672.000000,131617.000000,155267.812500,100592.453125,101157.000000,9484.939453,8762.599609,0.427215
91506.601563,72152.765625,83115.000000,80375.578125,84829.593750,62095.000000,182.039993,139.369995,0.428432
111068.406250,68075.562500,106925.000000,95461.937500,90521.226563,69113.000000,15.580000,33.879997,0.429649
133715.406250,71634.929688,122331.000000,168004.062500,108596.898438,101387.000000,83.639999,66.989998,0.433301
118371.601563,68595.492188,113092.000000,89200.421875,93845.750000,62292.000000,42.639999,28.490000,0.433301
116283.601563,75601.304688,100802.000000,59840.320313,88418.078125,44354.000000,160.720001,114.729996,0.433301
104163.007813,64888.140625,105203.000000,71000.515625,81065.695313,57399.000000,26.240000,7.700000,0.435735
143303.406250,78520.570313,119606.000000,99186.382813,107874.125000,60258.000000,5850.699707,3366.439941,0.435735
119813.406250,69091.937500,113647.000000,105110.062500,91433.304688,75339.000000,1437.459961,1586.969971,0.438169
91015.203125,67522.156250,88338.000000,70761.078125,84026.054688,55190.000000,40.180000,42.349998,0.441821
116494.203125,64593.500000,118194.000000,120462.921875,75479.070313,104594.000000,3464.500000,3512.739990,0.441821
78642.601563,63576.078125,81067.000000,49176.218750,78202.734375,41211.000000,245.179993,81.619995,0.445472
91940.406250,61546.542969,97900.000000,51785.460938,81347.359375,41720.000000,36.079998,25.410000,0.445472
77490.601563,62215.003906,81627.000000,45162.320313,77857.632813,38015.000000,13.120000,14.629999,0.450341
83947.203125,61941.992188,88818.000000,62839.878906,77478.171875,53154.000000,6691.199707,6049.889648,0.451558
144393.609375,74474.117188,127064.000000,105157.617188,101002.601563,68232.000000,159.899994,187.110001,0.452775
116010.007813,72297.757813,105160.000000,83107.000000,89822.882813,60636.000000,264.859985,242.549988,0.452775
103804.203125,66921.570313,101655.000000,100322.078125,84892.984375,77447.000000,169.740005,44.660000,0.456426
111615.601563,68532.085938,106736.000000,87129.921875,85846.210938,66516.000000,31.980000,11.549999,0.461295
126985.804688,69641.929688,119499.000000,89120.882813,86278.546875,67695.000000,9.020000,12.320000,0.461295
82831.203125,61969.746094,87598.000000,60120.757813,78284.804688,50330.000000,30.340000,11.549999,0.463729
